anno,categoria,fascia_importo,numero_transazioni
Complessivo,Enti provinciali,(50-100],12276
Complessivo,Enti provinciali,(500-1000],1717
Complessivo,Enti provinciali,>1000,1488
Complessivo,Enti regionali,(0-25],20989
Complessivo,Enti regionali,(100-200],246
Complessivo,Enti regionali,(200-500],300
Complessivo,Enti regionali,(25-50],109
Complessivo,Enti regionali,(50-100],218
Complessivo,Enti regionali,(500-1000],137
Complessivo,Enti regionali,>1000,695
Complessivo,"Ordini, collegi e consigli professionali",(0-25],2654440
Complessivo,"Ordini, collegi e consigli professionali",(100-200],6889337
Complessivo,"Ordini, collegi e consigli professionali",(200-500],2531266
Complessivo,"Ordini, collegi e consigli professionali",(25-50],1610664
Complessivo,"Ordini, collegi e consigli professionali",(50-100],5006962
Complessivo,"Ordini, collegi e consigli professionali",(500-1000],66647
Complessivo,"Ordini, collegi e consigli professionali",>1000,63254
Complessivo,Province,(0-25],909527
Complessivo,Province,(100-200],1963573
Complessivo,Province,(200-500],880219
Complessivo,Province,(25-50],3416589
Complessivo,Province,(50-100],2208442
Complessivo,Province,(500-1000],169692
Complessivo,Province,>1000,122450
Complessivo,Pubbliche amministrazioni centrali,(0-25],217611070
Complessivo,Pubbliche amministrazioni centrali,(100-200],48750121
Complessivo,Pubbliche amministrazioni centrali,(200-500],44840878
Complessivo,Pubbliche amministrazioni centrali,(25-50],63246212
Complessivo,Pubbliche amministrazioni centrali,(50-100],78686777
Complessivo,Pubbliche amministrazioni centrali,(500-1000],16773916
Complessivo,Pubbliche amministrazioni centrali,>1000,10691365
Complessivo,Regioni,(0-25],7015549
Complessivo,Regioni,(100-200],16311665
Complessivo,Regioni,(200-500],14033611
Complessivo,Regioni,(25-50],5819317
Complessivo,Regioni,(50-100],6086081
Complessivo,Regioni,(500-1000],1056872
Complessivo,Regioni,>1000,441952
Complessivo,Ricerca,(0-25],51779
Complessivo,Ricerca,(100-200],21600
Complessivo,Ricerca,(200-500],13686
Complessivo,Ricerca,(25-50],8972
Complessivo,Ricerca,(50-100],2400
Complessivo,Ricerca,(500-1000],19864
Complessivo,Ricerca,>1000,8739
Complessivo,Salute centrale,(0-25],10126662
Complessivo,Salute centrale,(100-200],2715964
Complessivo,Salute centrale,(200-500],476262
Complessivo,Salute centrale,(25-50],7586108
Complessivo,Salute centrale,(50-100],1562034
Complessivo,Salute centrale,(500-1000],58210
Complessivo,Salute centrale,>1000,128296
Complessivo,Salute locale,(0-25],22223041
Complessivo,Salute locale,(100-200],3747529
Complessivo,Salute locale,(200-500],621626
Complessivo,Salute locale,(25-50],18380803
Complessivo,Salute locale,(50-100],5903937
Complessivo,Salute locale,(500-1000],117603
Complessivo,Salute locale,>1000,161904
Complessivo,Salute regionale,(0-25],154874
Complessivo,Salute regionale,(100-200],1148
Complessivo,Salute regionale,(200-500],697
Complessivo,Salute regionale,(25-50],1301
Complessivo,Salute regionale,(50-100],85
Complessivo,Salute regionale,(500-1000],602
Complessivo,Salute regionale,>1000,2458
Complessivo,Salute servizi,(0-25],495334
Complessivo,Salute servizi,(100-200],187881
Complessivo,Salute servizi,(200-500],211965
Complessivo,Salute servizi,(25-50],323663
Complessivo,Salute servizi,(50-100],222923
Complessivo,Salute servizi,(500-1000],93259
Complessivo,Salute servizi,>1000,332781
Complessivo,Scuola,(0-25],43107561
Complessivo,Scuola,(100-200],7541999
Complessivo,Scuola,(200-500],4993347
Complessivo,Scuola,(25-50],13620161
Complessivo,Scuola,(50-100],7454094
Complessivo,Scuola,(500-1000],643758
Complessivo,Scuola,>1000,114831
Complessivo,Tutte,(0-25],503433683
Complessivo,Tutte,(100-200],406819601
Complessivo,Tutte,(200-500],257901348
Complessivo,Tutte,(25-50],358317299
Complessivo,Tutte,(50-100],408565353
Complessivo,Tutte,(500-1000],53449787
Complessivo,Tutte,>1000,31580763
Complessivo,Università,(0-25],5497790
Complessivo,Università,(100-200],8990658
Complessivo,Università,(200-500],7232312
Complessivo,Università,(25-50],4463554
Complessivo,Università,(50-100],2898923
Complessivo,Università,(500-1000],6148176
Complessivo,Università,>1000,3549478
Complessivo,Utility,(0-25],71573506
Complessivo,Utility,(100-200],164544333
Complessivo,Utility,(200-500],75423808
Complessivo,Utility,(25-50],140470030
Complessivo,Utility,(50-100],192250656
Complessivo,Utility,(500-1000],14731896
Complessivo,Utility,>1000,11101389
